school;pool;pmi;user0;user1;user2;user3;user4;user5;user6
0;410;907.25;;;;;;;
0;410;902.5;;;;;;;
0;410;897.75;;;;;;;
0;410;893;;;;;;;
0;404.1661538;916.75;;;;;;;
0;404.1661538;940.5;;;;;;;
0;404.1661538;964.25;;;;;;;
0;404.1661538;988;;;;;;;
0;394.5907692;978.5;;;;;;;
0;394.5907692;969;;;;;;;
0;394.5907692;959.5;;;;;;;
0;394.5907692;950;;;;;;;
0;387.7969231;935.75;;;;;;;
0;387.7969231;921.5;;;;;;;
0;387.7969231;907.25;;;;;;;
0;387.7969231;893;;;;;;;
0;384.3753846;897.75;;;;;;;
0;384.3753846;902.5;;;;;;;
0;384.3753846;907.25;;;;;;;
0;384.3753846;912;;;;;;;
0;382.8738462;926.25;;;;;;;
0;382.8738462;940.5;;;;;;;
0;382.8738462;954.75;;;;;;;
0;382.8738462;969;;;;;;;
0;382.6523077;978.5;;;;;;;
0;382.6523077;988;;;;;;;
0;382.6523077;997.5;;;;;;;
0;382.6523077;1007;;;;;;;
0;383.6615385;973.75;;;;;;;
0;383.6615385;940.5;;;;;;;
0;383.6615385;907.25;;;;;;;
0;383.6615385;874;;;;;;;
0;386.6646154;888.25;;;;;;;
0;386.6646154;902.5;;;;;;;
0;386.6646154;916.75;;;;;;;
0;386.6646154;931;;;;;;;
0;392.1292308;940.5;;;;;;;
0;392.1292308;950;;;;;;;
0;392.1292308;959.5;;;;;;;
0;392.1292308;969;;;;;;;
0;398.3323077;959.5;;;;;;;
0;398.3323077;950;;;;;;;
0;398.3323077;940.5;;;;;;;
0;398.3323077;931;;;;;;;
0;402.9107692;817;;;;;;;
0;402.9107692;703;;;;;;;
0;402.9107692;589;;;;;;;
0;402.9107692;475;;;;;;;
0;404.24;460.75;;;;;;;
0;404.24;446.5;;;;;;;
0;404.24;432.25;;;;;;;
0;404.24;418;;;;;;;
0;405.5938462;413.25;;;;;;;
0;405.5938462;408.5;;;;;;;
0;405.5938462;403.75;;;;;;;
0;405.5938462;399;;;;;;;
0;406.0615385;394.25;;;;;;;
0;406.0615385;389.5;;;;;;;
0;406.0615385;384.75;;;;;;;
0;406.0615385;380;;;;;;;
0;406.9476923;380;;;;;;;
0;406.9476923;380;;;;;;;
0;406.9476923;380;;;;;;;
0;406.9476923;380;;;;;;;
