,I_beam [W/m2],I_skydiff [W/m2],I_grounddiff [W/m2],t_amb [C]
596,0.0,0.0,0.0,-1.87
597,0.0,0.0,0.0,-1.87
598,0.0,0.0,0.0,-1.87
599,0.0,0.0,0.0,-1.87
600,0.0,0.0,0.0,-1.54
601,0.0,0.0,0.0,-1.54
602,0.0,0.0,0.0,-1.54
603,0.0,0.0,0.0,-1.54
604,0.0,29.42,0.44,-1.3
605,0.0,29.42,0.44,-1.3
606,0.0,29.42,0.44,-1.3
607,0.0,29.42,0.44,-1.3
608,281.88,116.64,2.61,0.87
609,281.88,116.64,2.61,0.87
610,281.88,116.64,2.61,0.87
611,281.88,116.64,2.61,0.87
612,528.09,122.63,4.49,4.94
613,528.09,122.63,4.49,4.94
614,528.09,122.63,4.49,4.94
615,528.09,122.63,4.49,4.94
616,613.33,142.88,5.52,7.96
617,613.33,142.88,5.52,7.96
618,613.33,142.88,5.52,7.96
619,613.33,142.88,5.52,7.96
620,714.01,118.81,6.07,8.97
621,714.01,118.81,6.07,8.97
622,714.01,118.81,6.07,8.97
623,714.01,118.81,6.07,8.97
624,485.21,188.99,5.18,9.34
625,485.21,188.99,5.18,9.34
626,485.21,188.99,5.18,9.34
627,485.21,188.99,5.18,9.34
628,372.33,170.1,4.09,9.46
629,372.33,170.1,4.09,9.46
630,372.33,170.1,4.09,9.46
631,372.33,170.1,4.09,9.46
632,200.06,126.87,2.41,9.19
633,200.06,126.87,2.41,9.19
634,200.06,126.87,2.41,9.19
635,200.06,126.87,2.41,9.19
636,0.0,13.37,0.2,8.81
637,0.0,13.37,0.2,8.81
638,0.0,13.37,0.2,8.81
639,0.0,13.37,0.2,8.81
640,0.0,0.0,0.0,7.92
641,0.0,0.0,0.0,7.92
642,0.0,0.0,0.0,7.92
643,0.0,0.0,0.0,7.92
644,0.0,0.0,0.0,6.77
645,0.0,0.0,0.0,6.77
646,0.0,0.0,0.0,6.77
647,0.0,0.0,0.0,6.77
648,0.0,0.0,0.0,5.49
649,0.0,0.0,0.0,5.49
650,0.0,0.0,0.0,5.49
651,0.0,0.0,0.0,5.49
652,0.0,0.0,0.0,3.3
653,0.0,0.0,0.0,3.3
654,0.0,0.0,0.0,3.3
655,0.0,0.0,0.0,3.3
656,0.0,0.0,0.0,1.62
657,0.0,0.0,0.0,1.62
658,0.0,0.0,0.0,1.62
659,0.0,0.0,0.0,1.62
660,0.0,0.0,0.0,0.89
661,0.0,0.0,0.0,0.89
662,0.0,0.0,0.0,0.89
663,0.0,0.0,0.0,0.89
664,0.0,0.0,0.0,0.22
665,0.0,0.0,0.0,0.22
666,0.0,0.0,0.0,0.22
667,0.0,0.0,0.0,0.22
668,0.0,0.0,0.0,-0.14
669,0.0,0.0,0.0,-0.14
670,0.0,0.0,0.0,-0.14
671,0.0,0.0,0.0,-0.14
672,0.0,0.0,0.0,-0.42
673,0.0,0.0,0.0,-0.42
674,0.0,0.0,0.0,-0.42
675,0.0,0.0,0.0,-0.42
676,0.0,0.0,0.0,-0.96
677,0.0,0.0,0.0,-0.96
678,0.0,0.0,0.0,-0.96
679,0.0,0.0,0.0,-0.96
680,0.0,0.0,0.0,-1.07
681,0.0,0.0,0.0,-1.07
682,0.0,0.0,0.0,-1.07
683,0.0,0.0,0.0,-1.07
684,0.0,0.0,0.0,-1.28
685,0.0,0.0,0.0,-1.28
686,0.0,0.0,0.0,-1.28
687,0.0,0.0,0.0,-1.28
688,0.0,0.0,0.0,-1.48
689,0.0,0.0,0.0,-1.48
690,0.0,0.0,0.0,-1.48
691,0.0,0.0,0.0,-1.48
692,0.0,0.0,0.0,-1.65
693,0.0,0.0,0.0,-1.65
694,0.0,0.0,0.0,-1.65
695,0.0,0.0,0.0,-1.65
696,0.0,0.0,0.0,-1.48
697,0.0,0.0,0.0,-1.48
698,0.0,0.0,0.0,-1.48
699,0.0,0.0,0.0,-1.48
700,0.0,26.75,0.4,1.38
701,0.0,26.75,0.4,1.38
702,0.0,26.75,0.4,1.38
703,0.0,26.75,0.4,1.38
704,59.96,110.53,1.74,3.9
705,59.96,110.53,1.74,3.9
706,59.96,110.53,1.74,3.9
707,59.96,110.53,1.74,3.9
708,368.61,165.9,4.02,5.55
709,368.61,165.9,4.02,5.55
710,368.61,165.9,4.02,5.55
711,368.61,165.9,4.02,5.55
712,11.54,156.69,2.3,6.62
713,11.54,156.69,2.3,6.62
714,11.54,156.69,2.3,6.62
715,11.54,156.69,2.3,6.62
716,9.44,164.71,2.41,7.71
717,9.44,164.71,2.41,7.71
718,9.44,164.71,2.41,7.71
719,9.44,164.71,2.41,7.71
720,63.31,198.86,3.12,8.19
721,63.31,198.86,3.12,8.19
722,63.31,198.86,3.12,8.19
723,63.31,198.86,3.12,8.19
724,2.04,106.6,1.54,8.15
725,2.04,106.6,1.54,8.15
726,2.04,106.6,1.54,8.15
727,2.04,106.6,1.54,8.15
728,21.27,96.38,1.45,8.1
729,21.27,96.38,1.45,8.1
730,21.27,96.38,1.45,8.1
731,21.27,96.38,1.45,8.1
732,0.0,24.25,0.35,7.81
733,0.0,24.25,0.35,7.81
734,0.0,24.25,0.35,7.81
735,0.0,24.25,0.35,7.81
736,0.0,0.0,0.0,7.41
737,0.0,0.0,0.0,7.41
738,0.0,0.0,0.0,7.41
739,0.0,0.0,0.0,7.41
740,0.0,0.0,0.0,6.91
741,0.0,0.0,0.0,6.91
742,0.0,0.0,0.0,6.91
743,0.0,0.0,0.0,6.91
744,0.0,0.0,0.0,6.52
745,0.0,0.0,0.0,6.52
746,0.0,0.0,0.0,6.52
747,0.0,0.0,0.0,6.52
748,0.0,0.0,0.0,6.05
749,0.0,0.0,0.0,6.05
